,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,methane_fraction_su_raw_sigma,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_su_raw,kgh_ch4_60_std_su_raw,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
0,2022-10-31 17:04:02,1.0,0,mc,0,0,6587.102972999999,0.9600000000000001,0.022499999999999996,224.12970000000004,0.1520787418701692,215.16451199999995,0.14599559219536062,0.25,0.12755102040816327,0.2858797193877552,5.052490375003844
1,2022-10-31 17:07:12,2.0,0,mc,0,0,6323.76964,0.9600000000000001,0.022499999999999996,224.61636,0.14576533172261266,215.63170560000006,0.1399347184537117,0.25,0.12755102040816327,0.28650045918367345,5.063280729103489
2,2022-10-31 17:10:55,3.0,1,mc,0,0,6457.866862000001,0.9600000000000001,0.022499999999999996,318.79188,3.8436872680420353,306.0402047999999,3.6899397773203555,0.25,0.12755102040816327,0.40662229591836735,8.075725508110807
3,2022-10-31 17:14:13,4.0,0,mc,0,0,6475.540472999999,0.9600000000000001,0.022499999999999996,115.87170000000002,0.206548424165916,111.236832,0.19828648719928144,0.25,0.12755102040816327,0.14779553571428575,2.6184896443772505
4,2022-10-31 17:17:18,5.0,0,mc,0,0,6556.686307,0.9600000000000001,0.022499999999999996,114.36354000000001,0.09811842930607748,109.78899840000001,0.0941936921338366,0.25,0.12755102040816327,0.14587186224489798,2.578708265925296
5,2022-10-31 17:20:09,6.0,0,mc,0,0,6488.665472999999,0.9600000000000001,0.022499999999999996,62.66604,0.08393526803637819,60.1593984,0.08057785731492381,0.25,0.12755102040816327,0.07993117346938776,1.4143695149320346
6,2022-10-31 17:23:16,7.0,1,mc,0,0,6541.89464,0.9600000000000001,0.022499999999999996,115.45176000000001,0.0839077847340937,110.8336896,0.08055147334473373,0.25,0.12755102040816327,0.1472598979591837,2.602755318899268
7,2022-10-31 17:26:03,8.0,0,pc,0,0,6553.352972999999,0.9600000000000001,0.022499999999999996,690.3474,3.8511672947566726,662.7335039999999,3.6971206029664083,0.25,0.12755102040816327,0.8805451530612246,15.989110692481633
8,2022-10-31 17:29:12,9.0,0,pc,0,0,6526.061307,0.9600000000000001,0.022499999999999996,710.814,2.768603686496381,682.3814399999999,2.6578595390365303,0.25,0.12755102040816327,0.9066505102040817,16.236006626586157
9,2022-10-31 17:32:10,10.0,0,bc,0,0,6566.998807,0.9600000000000001,0.022499999999999996,22.027854000000005,0.6744996870982176,21.14673984,0.6475196996142888,0.25,0.12755102040816327,0.028096752551020416,0.815876913754689
10,2022-10-31 17:35:27,11.0,0,mc,0,0,6564.186307,0.9600000000000001,0.022499999999999996,287.59799999999996,0.25335153309588276,276.09407999999996,0.24321747177205258,0.25,0.12755102040816327,0.36683418367346937,6.485092951620349
11,2022-10-31 17:38:23,12.0,1,mc,0,1,6521.165472999999,0.9600000000000001,0.022499999999999996,330.27666000000005,0.4580361725039099,317.0655936,0.4397147256037565,0.25,0.12755102040816327,0.4212712500000001,7.4552000423265925
12,2022-10-31 17:41:46,13.0,1,mc,0,0,6585.748807,0.9600000000000001,0.022499999999999996,331.31286000000006,0.2857640683845027,318.06034559999995,0.27433350564912684,0.25,0.12755102040816327,0.4225929336734695,7.470609047009738
13,2022-10-31 17:44:50,14.0,1,mc,0,0,6580.94767,0.9600000000000001,0.022499999999999996,273.3192,0.3902549049627146,262.386432,0.3746447087642046,0.25,0.12755102040816327,0.34862142857142864,6.17016659146187
14,2022-10-31 17:48:16,15.0,1,mc,0,0,6545.436307,0.9600000000000001,0.022499999999999996,272.19786,0.268959888131538,261.30994560000005,0.25820149260627867,0.25,0.12755102040816327,0.3471911479591837,6.138946953527551
15,2022-10-31 17:51:26,16.0,0,pc,0,1,6564.39464,0.9600000000000001,0.022499999999999996,992.1587999999999,10.931365744684776,952.4724480000001,10.49411111489739,0.25,0.12755102040816327,1.2655086734693877,24.697049079274272
16,2022-10-31 17:54:40,17.0,1,pc,1,1,6584.186307,0.9600000000000001,0.022499999999999996,448.935,0.8508910185351156,430.97759999999994,0.8168553777937114,0.25,0.12755102040816327,0.5726211734693878,10.148911238368921
17,2022-10-31 17:57:55,18.0,0,mc,1,1,6538.561307,0.9600000000000001,0.022499999999999996,174.53633999999997,0.347724924012733,167.55488640000004,0.3338159270522259,0.25,0.12755102040816327,0.2226228826530612,3.9470202394207665
18,2022-10-31 18:01:13,19.0,0,pc,1,1,6562.415472999999,0.9600000000000001,0.022499999999999996,1164.5292,14.322074867200456,1117.9480320000002,13.749191872512421,0.25,0.12755102040816327,1.4853688775510205,29.624543080748776
19,2022-10-31 18:04:20,20.0,0,pc,0,0,6532.51964,0.9600000000000001,0.022499999999999996,1190.1084,14.201375110309876,1142.5040639999997,13.633320105897495,0.25,0.12755102040816327,1.5179954081632656,30.083588693158795
20,2022-10-31 18:07:37,21.0,0,bc,1,1,6566.061307,0.9600000000000001,0.022499999999999996,18.833658000000003,0.029458852129937867,18.08031168,0.028280498044740306,0.25,0.12755102040816327,0.02402252295918368,0.425325614702048
21,2022-10-31 18:10:58,22.0,0,pc,1,1,6568.526583999999,0.9600000000000001,0.022499999999999996,648.5274000000001,2.5816558423104357,622.5863040000002,2.4783896086180217,0.25,0.12755102040816327,0.8272033163265308,14.82213216547703
22,2022-10-31 18:14:38,23.0,0,pc,0,1,6569.811307,0.9600000000000001,0.022499999999999996,657.6792,2.4675769546497777,631.3720319999998,2.3688738764637844,0.25,0.12755102040816327,0.838876530612245,15.007813239482063
23,2022-10-31 18:17:44,24.0,0,bc,1,1,6559.498807,0.9600000000000001,0.022499999999999996,23.687952000000003,0.03798162467406251,22.74043392,0.0364623596871,0.25,0.12755102040816327,0.030214224489795924,0.5350115521088253
24,2022-10-31 18:21:17,25.0,0,bc,0,0,6568.352972999999,0.9600000000000001,0.022499999999999996,23.304918000000004,0.03747378413807628,22.372721280000004,0.035974832772552826,0.25,0.12755102040816327,0.029725660714285722,0.5263673855791208
25,2022-10-31 18:24:23,26.0,0,pc,0,1,6556.477972999999,0.9600000000000001,0.022499999999999996,482.32500000000005,1.0068507370904827,463.032,0.9665767076068631,0.25,0.12755102040816327,0.6152104591836736,10.911267932736356
26,2022-10-31 18:27:43,27.0,0,pc,0,0,6579.602972999999,0.9600000000000001,0.022499999999999996,489.8376,0.8089369295144132,470.244096,0.7765794523338385,0.25,0.12755102040816327,0.6247928571428573,11.064940339128622
27,2022-10-31 18:30:55,28.0,0,None,1,1,6580.64464,0.9600000000000001,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2022-10-31 18:34:29,29.0,0,pc,1,1,6548.561307,0.9600000000000001,0.022499999999999996,645.1398,2.3357242030133505,619.3342079999999,2.242295234892811,0.25,0.12755102040816327,0.8228823979591838,14.7090414447849
29,2022-10-31 18:37:47,30.0,0,pc,1,1,6568.561307,0.9600000000000001,0.022499999999999996,631.5401999999998,38.13657271439058,606.2785920000001,36.611109805814955,0.25,0.12755102040816327,0.805535969387755,39.279583215534096
30,2022-10-31 18:41:24,31.0,0,mc,1,1,6553.352972999999,0.9600000000000001,0.022499999999999996,169.48632000000003,0.1867823502713289,162.70686719999998,0.1793110562604737,0.25,0.12755102040816327,0.21618153061224496,3.823292343074014
31,2022-10-31 18:44:50,32.0,0,pc,1,1,6586.89464,0.9600000000000001,0.022499999999999996,586.4837999999999,2.3674059521706137,563.0244479999999,2.2727097140837857,0.25,0.12755102040816327,0.7480660714285713,13.40941212572726
32,2022-10-31 18:48:28,33.0,1,pc,0,0,6547.966069,0.9600000000000001,0.022499999999999996,589.5186,1.674788660585909,565.937856,1.6077971141624685,0.25,0.12755102040816327,0.7519369897959184,13.380742083650421
33,2022-10-31 18:51:55,34.0,0,bc,1,1,6568.109918,0.9600000000000001,0.022499999999999996,2.3720532000000007,0.011772465486054248,2.2771710720000002,0.011301566866612092,0.4803808713880778,0.24509228132044786,0.005813719302014687,0.05483939776599956
34,2022-10-31 18:55:35,35.0,0,bc,1,1,6565.64464,0.9600000000000001,0.022499999999999996,7.377012,0.02996689997709619,7.0819315199999995,0.028768223978012302,0.25,0.12755102040816327,0.009409454081632653,0.1686993986600692
35,2022-10-31 18:58:56,36.0,0,None,1,1,6542.102972999999,0.9600000000000001,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2022-10-31 19:02:27,37.0,0,mc,1,1,6560.64464,0.9600000000000001,0.022499999999999996,349.80293999999986,0.7761303885738515,335.8108224,0.745085173030896,0.25,0.12755102040816327,0.44617721938775495,7.917349944102924
37,2022-10-31 19:05:50,38.0,0,bc,1,1,6560.64464,0.9600000000000001,0.022499999999999996,0.7095762000000001,0.010249812444418815,0.6811931520000001,0.009839819946642065,1.5963561319059094,0.8144674142377089,0.0057792669281861945,0.01955759405689021
38,2022-10-31 19:09:24,39.0,0,pc,0,1,6579.08214,0.9600000000000001,0.022499999999999996,1168.0374000000002,15.424610312578897,1121.3159039999998,14.807625900075728,0.25,0.12755102040816327,1.48984362244898,30.19923888870298
39,2022-10-31 19:12:53,40.0,0,pc,0,1,6597.631819,0.9600000000000001,0.022499999999999996,1199.6484000000005,16.62931922044896,1151.6624639999998,15.964146451630997,0.25,0.12755102040816327,1.5301637755102049,31.39402293176877
40,2022-10-31 19:16:41,41.0,1,mc,0,0,6551.686307,0.9600000000000001,0.022499999999999996,94.96266000000001,0.2270603751562599,91.1641536,0.21797796015001147,0.25,0.12755102040816327,0.12112584183673472,2.1508953791526637
41,2022-10-31 19:19:58,42.0,0,None,1,1,6572.51964,0.9600000000000001,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-10-31 19:23:33,43.0,0,None,0,0,6575.131819,0.9600000000000001,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-10-31 19:26:49,44.0,1,bc,0,1,6573.76964,0.9600000000000001,0.022499999999999996,3.0517182000000007,0.02369553172982875,2.9296494720000004,0.022747710460635628,0.37385620567942757,0.1907429620813406,0.005820937689055371,0.07254917870500846
44,2022-10-31 19:30:28,45.0,0,mc,0,0,6586.790472999999,0.9600000000000001,0.022499999999999996,329.6591399999999,0.6078433688745368,316.47277440000005,0.5835296341195607,0.25,0.12755102040816327,0.42048359693877546,7.4511908870008545
