,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_60_mean,gas_kgh_60_std,meter_sigma,methane_fraction_su_normalized,methane_fraction_su_normalized_sigma,ch4_kgh_60_mean_su_normalized,ch4_kgh_sigma
0,2022-10-25 17:15:08,1.0,0,mc,0,1,41623.97797,216.94500000000002,0.3480494763192465,0.27671556122448987,0.9,0.022499999999999996,195.2505,4.897639088901514
1,2022-10-25 17:32:52,2.0,0,mc,0,0,41630.46886,102.57744,0.1652186914365319,0.13083857142857142,0.9,0.022499999999999996,92.319696,2.3157732695914484
2,2022-10-25 17:50:42,3.0,0,pc,1,1,42633.14464,1038.3846,27.299022274166223,1.3244701530612246,0.8800000000000002,0.022499999999999996,913.7784480000001,33.53103055464742
3,2022-10-25 18:09:11,4.0,0,pc,0,0,42635.03948,1033.5066,28.92511462684757,1.3182482142857144,0.8800000000000002,0.022499999999999996,909.485808,34.49638795858061
4,2022-10-25 18:27:57,5.0,0,None,1,1,43640.086839999996,0.0,0.0,0.0,0.8800000000000002,0.0,0.0,0.0
5,2022-10-25 18:47:09,6.0,0,pc,0,0,43643.14464,492.64920000000006,2.229166818585983,0.6283790816326532,0.8800000000000002,0.022499999999999996,433.53129600000005,11.270422741553901
6,2022-10-25 19:07:10,7.0,0,bc,0,0,43626.23549,25.687998,0.03517839277121844,0.032765303571428525,0.8800000000000002,0.022499999999999996,22.60543824,0.5795261272532178
7,2022-10-25 19:28:04,8.0,0,pc,0,0,43632.51964,667.5138,4.7173921221262045,0.8514206632653063,0.8800000000000002,0.022499999999999996,587.412144,15.600220764579124
8,2022-10-25 20:10:31,9.0,0,mc,0,0,44646.26964,149.51447999999996,0.16078636926796272,0.19070724489795915,0.8800000000000002,0.022499999999999996,131.5727424,3.371229794204769
9,2022-10-25 20:29:58,10.0,0,mc,0,1,44667.51964,78.53069999999998,0.10154750078290531,0.10016670918367342,0.8800000000000002,0.022499999999999996,69.107016,1.7713935155332898
10,2022-10-25 20:46:41,11.0,0,mc,0,0,44667.51964,66.304515,0.04887892885938345,0.08457208545918363,0.8800000000000002,0.022499999999999996,58.347973200000006,1.4943259899871326
11,2022-10-29 16:25:02,12.0,0,None,0,0,42617.543679999995,0.0,0.0,0.0,0.9200000000000002,0.0,0.0,0.0
12,2022-10-29 16:50:52,13.0,0,mc,0,0,42642.51964,356.81075999999996,0.7667619565640266,0.4551157653061225,0.9200000000000002,0.022499999999999996,328.26589920000004,8.070043688857485
13,2022-10-29 17:17:02,14.0,0,pc,0,0,42642.51964,704.6340000000001,4.989852455275986,0.8987678571428573,0.9200000000000002,0.022499999999999996,648.26328,16.526210246709375
14,2022-10-29 17:42:47,15.0,0,pc,0,0,43641.474559999995,425.44620000000003,1.8606354190737813,0.5426609693877551,0.9200000000000002,0.022499999999999996,391.41050400000006,9.73719505831028
15,2022-10-29 18:07:14,16.0,0,bc,0,0,43640.198209999995,35.252382000000004,0.04051576461543055,0.04496477295918364,0.9200000000000002,0.022499999999999996,32.432191440000004,0.7951307752619114
16,2022-10-29 18:31:01,17.0,0,mc,0,0,43625.62149,354.08754000000005,0.8508256148280064,0.4516422704081633,0.9200000000000002,0.022499999999999996,325.7605368,8.016106738331008
17,2022-10-29 18:54:09,18.0,0,pc,0,0,43635.8699,858.3678,12.359553882026315,1.0948568877551021,0.9200000000000002,0.022499999999999996,789.6983760000002,22.434617347296292
18,2022-10-29 19:16:43,19.0,0,pc,0,0,43617.51964,1112.7083999999998,30.611945767979126,1.419270918367347,0.9200000000000002,0.022499999999999996,1023.6917279999999,37.704869476154094
19,2022-10-29 19:38:38,20.0,0,pc,0,0,44617.51964,1352.4792,35.651583613197516,1.7251010204081636,0.9200000000000002,0.022499999999999996,1244.280864,44.770031624363
20,2022-10-29 19:59:57,21.0,0,pc,0,0,44608.46226,613.9788,4.243881772822489,0.783136224489796,0.9200000000000002,0.022499999999999996,564.860496,14.373735058526346
21,2022-10-29 20:21:33,22.0,0,mc,1,1,44617.51964,209.01834000000002,18.27714939474137,0.2666050255102041,0.9200000000000002,0.022499999999999996,192.2968728,17.461987699846755
22,2022-10-29 20:42:37,23.0,0,pc,1,1,44617.51964,517.6848,2.3238920946973054,0.6603122448979591,0.9200000000000002,0.022499999999999996,476.270016,11.858067428696637
23,2022-10-29 21:02:19,24.0,0,mc,0,0,44627.869099999996,177.13056,0.1109133372182154,0.22593183673469389,0.9200000000000002,0.022499999999999996,162.96011520000002,3.9921585305653706
