Operator,Stage,overpass_id,DateOfSurvey,StartUTC,EndUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
Scientific Aviation,1,1,11/8/22,21:36:22,22:14:22,TRUE,TRUE,4.5,-0.4,9.4,unknown,8.2,SA-1,FALSE
Scientific Aviation,1,2,11/8/22,22:32:13,22:56:06,TRUE,TRUE,139.8,38,241.6,unknown,7.2,SA-1,FALSE
Scientific Aviation,1,3,11/8/22,23:05:50,23:26:34,TRUE,TRUE,7.5,3.5,11.5,unknown,7.6,SA-1,FALSE
Scientific Aviation,1,4,11/8/22,23:45:18,23:55:32,TRUE,TRUE,-3,-5.3,-0.7,unknown,7.8,SA-1,FALSE
Scientific Aviation,1,5,11/10/22,18:05:56,18:28:08,TRUE,TRUE,921.8,646.4,1197.2,unknown,3.1,clear,TRUE
Scientific Aviation,1,6,11/10/22,18:46:34,19:14:37,TRUE,TRUE,155.525,95.76325304,215.286747,unknown,3,clear,TRUE
Scientific Aviation,1,7,11/10/22,19:26:04,19:51:01,TRUE,TRUE,275.9,204.6,347.2,unknown,3.5,clear,TRUE
Scientific Aviation,1,8,11/10/22,20:04:59,20:24:03,TRUE,TRUE,2.6,-0.3,5.5,unknown,3.9,clear,TRUE
Scientific Aviation,1,9,11/10/22,20:47:38,21:12:57,TRUE,TRUE,31.185,9.37674468,52.99325532,unknown,3.7,clear,TRUE
Scientific Aviation,1,10,11/10/22,21:25:50,21:50:37,TRUE,TRUE,70.4,44.7,96.1,unknown,4.1,clear,TRUE
Scientific Aviation,1,11,11/10/22,21:55:06,22:01:22,TRUE,TRUE,6.5,-3.6,16.6,unknown,4,SA-2,FALSE
Scientific Aviation,1,12,11/11/22,19:14:36,19:27:44,TRUE,TRUE,91.6,61.3,121.9,unknown,4.4,clear,TRUE
Scientific Aviation,1,13,11/11/22,19:49:30,20:05:50,TRUE,TRUE,2.9,-0.3,6.1,unknown,4.2,clear,TRUE
Scientific Aviation,1,14,11/11/22,20:25:26,20:42:02,TRUE,TRUE,4.9,-1.2,11,unknown,4.4,SA-2,FALSE
Scientific Aviation,1,15,11/11/22,20:56:01,21:16:26,TRUE,TRUE,18.07,5.8722789,30.2677211,unknown,3.8,clear,TRUE
Scientific Aviation,1,16,11/11/22,21:30:40,21:48:22,FALSE,TRUE,0.09,-11.27248652,11.45248652,unknown,4.3,clear,TRUE
Scientific Aviation,1,17,11/11/22,22:42:59,23:04:02,TRUE,TRUE,402.79,216.2811474,589.2988526,unknown,4.6,clear,TRUE
Scientific Aviation,1,18,11/11/22,23:17:51,23:39:33,TRUE,TRUE,151.6,35.8,267.4,unknown,5.3,SA-1,FALSE
